text,label
tcnic froux frac fud tim merd vitr dav pra ter volt 6 pont culp pc invent loss treinador futebol,1
sapat fod pod beb vai atrs ex hein,1
nov film prefer put q paril nunc chor tant film,1
jinyoung lend cart seunghun pq seunghun ta chor dem pra ler baejin com chor tambm vai fod,1
medalh n k experinc porm gost dess mudan robert satur robert sempr macr entrav dav ritm jog agr macr titul s sucess,0
brig fei so dois doutor edi sab,0
vai fud amig,1
acha bonit fei,0
cacet man q vou ter algu,0
acord 1hr aind sonopqp,1
q entrar app banc pra ver cart nov cheg diss corag l vou ver quant to dev banc quer evit,0
irmo pra mim irm oqu boi apaixon diss pra vac ai sei oq amu kk grt dem,0
ricard reconhec t to diferent q casament pai realidad tod dias s sust ne gent nao pod perd oportun humilh pqp,0
caralh vai rol hoj vsf,1
maior period temp q vc ja fic acord talvez 23 hor tcodr7ntper4r,0
agor par p pens pod ultim fds carr,0
insuficient caralh incrvel lind gostos,1
fic estress vend quant govern bolsonar burr,1
modern ous viad,1
pens algu bot pint ai loc,1
ae caralh,1
s vez quer deus mud cois resolv problem quer convers sobr acham deus faz simples porqu pai sab necess deus quer relacion achegu sent saudad,0
sai crist fdp,1
pass manh aind la k pqp tcoldm3tpprtb,0
t friozinh put gostos,1
ae porr,1
chef q mand figurinh lul faz cora mos,0
10 rea fret vou peg andand porr k,0
coit dess gring crimin vai fic esper crimin maldit deltan vai afast vc covil crimin est stf vai pag crim comet ningum est acim lei crimin infern,1
assim govern rui cost ptba palom roch filh glaub roch cancel participa inaugura aeroport obra lev nom cineast folh,0
qnd vou p vsl k,0
grip achou pqp,1
vai tom cu t surt jog,1
tod vez q vid pass tl obrig ver inteir comec rir sempr,0
astro au binwo moonbin mand cas camp faml interior long farr confus tud tdi excet rapaz trabalh faml dongmin acab cham aten astro binwo binu tcoa0gcuj6twn,0
bglh andar fac faz bglh dess j pass fac pesco,1
abandon moon lovers dram ruim caralh,1
pod cham irmo viad ja quer bat k,1
gay hter bi fei,0
s vdds jesus,0
sport bar ofert oficial philipp coutinh mes jogador est cient diss coutinh gost regress premi leag tcoyly7pmn7ts,0
dorm dem pqp,1
zoi pre lanch pqp,0
prov intelignc dig onde social comun der cert,0
con caralh,1
frac sol caralh ploc tcohepatmhi8s,0
k pass fei,1
possvel cad dia fic fei,0
bot lon agit porr k vocs so dem,1
man ingls horri agor t put,0
aument efet susep primordial diant beir caos seguran pblic bms invs cuid seguran popula faz custd pres viatur,0
com lix beb lcool crian oq mat amor,0
vai pod refinanc contrat vecul contrat inadimplnc pod refinanc ter crdit nov,0
curly lambeau d nom estdi franqu green bay packers episdi histric dess seman viem cont pouc sobr apert play vem gent tcoiq2ge0odjv spotify tco5upe1kmxrl packers gopackg tco3eercukvhu,0
vcs porr,1
voc consegu tom skol pqp frac dem,0
caralh vam pra tqui porr voleinaglob,1
degol stfvergonhanacional,0
embal emocion lix tcohsqbacoclq,1
vc dev dor cotovel tremend hein babac k brasil acim tud deus acim tod bolsonaro2022,1
k melhor post q ja vi vid,0
voz dentr mim ta grit vai idiot outr voz diz calm fia afob,0
t faz diagnos p entrar,0
t quas fal pro amig esquec corr enfi part cu,1
n sab q pod fcr tao trist c bagulh tao idiot crl to mt put mt trist c,1
pior pad po t quentinh fil anda voc fic esper enquant po esfri,0
prioridad n k,0
porr t pass mal p crlh sac,1
hj ta send put test pacinc,0
rind dem joyc cont quas mand osri tom cu k lembr log joz camil,1
deus blogueir quer faz parc s duas empres farfetch drog so paul surr bols dermocosmt,0
carreg beb fum log,0
dig s tom cu k,1
men com at agor nad nad,0
ram crian chorv bem alto cham aten hoj chor bem baixinh ter explic,0
dodg enquadr supremo coloc morda suprem tcooub6w0knh2,0
apost cois carioc paulist pq porr s gent pra faz merd,1
curt voc mand p dm ningum vai curt ok tcocauwdwjf3d,0
raz prxim peg print apag arrob,0
k vtnc q diabeiss,1
nao sei oq diss bal min p mim fal assim min melhor vc vc vai respeit agor abaix mo pra fal comig vc vai fal comig assim mo abaix ok k fic pianinh pqp aug,0
maior contrata futebol brasileir tcoppbdmmejcq,0
falt bucet,1
mt escrot kk,1
cpi tud quant rgo pblic deu prejuz ness pas algum ganh pov,0
conhec verdad jesusverdadeir h situa pesso engan nad pod separ amor encontr jesus conhecer verdad verdad libert joo 832 vez libert volt pra escrav,0
imagin porr tod car coment proxim vde vocs quer faa rtrtrt t,1
unic diferen lug beijinh sai daqu gabriel caralh pra faz nad vaz ve to fac mo pens poss cort,0
ai pqp professor vai lecion semestr intim,1
porr peg meg resenh lar,0
enchi cu suc maracuj agr vou dorm,1
j assim format suo pau k,0
to to trist algum pod lev pra show jack amp jack,0
porr vai ter calour,0
afli porr,0
voc lind dem man infern,0
ame k,0
tabac porr,1
sim fdp,1
sab pior diss tud pod cont pros amig pq vai fic lad pens vil,0
pessoal banc fox vcs fat so mto dois mesmosminh opiniotambm descans alguns confront bahiafort abra tod obs benjavc mto doidotam junt,0
blz piad boa,0
vc suger agor arma vot j eras impeachment s benefic congress j eras brasileir est satisfeit sab faz engol at outr elei,0
olha at vou porm cham pra encher cu lcool bar cas algum primeir cheg,1
arrepend post pq agor t vontad dinheir fic vend fot,0
grand chinaaquel elef burac agulh fod n milit abra,1
caralh neurtic algum present k,0
clar sim paulinh fab,0
odei gent dess tip cr n consig olhar cr,1
porr tod vez vou encaminh algo mensag diret aqu tt pra pesso esqu cri grup,0
man pesso conseg mat crian 6 anos caralh merec muit mader pqp,0
pesso mand audi 10 minut mand fud euem,1
caralh fic feliza ver futebol brasileir evolu contrata,0
eta filh put lind,0
fal djong dei salv lo gord bich brab dem,0
miat abrind show pic,0
continu achand mxim look caralh verdad compromiss hoj,1
caralh to choranf,1
anac met pau menin also anac ai olha ltim vez fal faz scul ana carolin hoj,0
bas fod aind deboch k,0
bem louc pra lev filh niss n lev nunc,0
apag umas fot gal whatsapp ache fot troux umas lembran porr,0
86 reprov ide igual enorm parcel brasileir reprov facilita acess armas majoritar govern retric sustent popul extremadireit propost tm respald social polariza explic tcopmeqjxpu3s,0
sint s vez mei p insegur viralat f futur,0
fic mal cidad k,0
serv submiss bolsonar to grand quant distnc daqu at lua,1
caralh man s acontec merd vid fud,1
cu t feliz,1
amig vcs tambm mand indiret car pau k aug tcoiqwdd39cm3,1
mand link soltinh mignon gui arroz compart inteir onde cu pti,1
amm,0
tod hr qued luzva acab queim cois ness porr,0
poss com quis q mnh vai continu intact pra pouc tcoo3su60srok,0
nunc cheg algum fal pesso t gord engord sac,0
odei faz barb man pqp,0
acho vcs esto engan pois moment ttul melhor futebol jog brasil talvez amric agor outr lad sei hein sri b sub camp fraud divis enorm nad ttul burr vcs esto brincadeir,1
sensa vez vim ness vid s pra fud,1
bvi oq vc esper,0
lastimvel bolsonar desrespeit dor faml vtim ditadur distorc histr crim pratic estad desment document ofic alter composi comiss mort desaparec poltic necropolt limit,0
parabns j com rab tcox92lbsy369,1
peg pau,1
bom q footjob pint fic parec q grand,1
roub fot car pau tcokc4ml75rbx,1
t mort pqp,1
porr sempr cancel cim hor,0
noj pov brasileir maior gent bem perdo d segund chanc sempr individu j vem prov temp concert mau cart filh reconh bom pai val pen dar voz p canalh,1
rol vocs duas troc lug prefir clar,0
millennials descobr motel sab pra serv parec cen inicial 2001 l macac vend obelisc tcobahwpauzal,0
porr quer bat mim bat nel fdp,1
mulh faz igual pior vsf k tcosjfbpa6kv9,1
to dand ris bem car sent quic jog pra trs quer,1
s quer solzinh put dia fei fri porr,1
cair cu bund,1
pai msic alta liga viv voz pqp estress,1
mostr fot melin,0
vai pra cad glenn pag hack invad cont algum edit arquiv atitud algum extrem mal cart pav raz pf j est col,0
entend porqu persegui contr procur lav jat tcokfckgxbjep,0
fei onde u,0
olha fal,0
pov best porr,1
k kd macac lok q hoj t agress k s cacet,1
vis parec algum nunc experinc quer diz voc precis ter empat alis problem dev falt empat,0
porr q assunt chat car insist ness paut achou pnalt 95 rbitr q coment sobr arbitrag televis brasileir achar pnalt pront prxim assunt,0
lav banheir agor maior anima calor caralh,0
amig vai ness vid maldit crim etern gunnay,0
gs bolv gra brasil at pag dvid dev petrobr fdp luldr deu ndi bolv afirm contrat fix penal brasil compr men gs tcolyrlz6m5jf,1
deu agon peg outr po queij invs termin com com tcopmlzb99llj,0
tim venc corinthians itaqu tim fez gols corinthians itaqu ltim vitr rival dentr itaqu tco7venf5fw99,0
cara dorm umas 12 hor segu cois gent imprestvel,1
viad ontem vei prim pergunt viad tmb pq lind kj,0
fei tds dias fot t igual drog,0
algum ajud convenc merd boehl ir bail hj k gur chat porr,1
vasc gam pic,0
parabns pra min porr 17 pist mt f deus tcobzhjkj5z7w,1
imprens lix mentir tendenc parcial estpid nenhum credibil,1
ilud dem pqp,1
d tir car dess vagabund,1
bobag branc,0
romer voc fod,0
t lig 220 pqp,1
quas certez hom escrot fing mulh k moment tbm pens niss tcofx2grexnw,0
ok agor t vot cert dois apps,0
manipula caralh,1
man porr,0
por viad,1
hom dand desculp ter par frent garag vai fud,1
put merd olha tamanh nam t enorm olha ombros tant belez gostosur nunc fot s consig assimil,0
pois aind bem retir diss merec porr nenhum,0
acho q qualqu cois oq deix chat deix amig chat seri vsf,1
aprend nad cultur negr escol muit crian negr sab ancestral histr negr resum s escrav,0
maluc esquerd enrust acord chic aind pacinc pra tip babac,1
s t f superior tribunal fuleir stfvergonhanacional,0
algum roub fon tnc viu,0
gent achar queiroz queiroz queiroz,0
ah man sla s vez qri analfabet,0
gent algum segur vou ped browni 12 rea arrepend,0
bol dess levant t brasil,0
vcs esquerdeopat emend,1
porr n fal cmg quer peg,0
vagabund,1
acab regass dan car mo boa,0
comec lav lou pra bichinh cheg final fiqu mals grip amig perdo vai fic umas panel pra vc ok,0
vai fud li calcinh k,1
ador tir fot assim,0
j j apag tant vergonh pqp,0
neym vier coutinh fic griezmann mess dembl coutinh jong arthur alba lenglet piqu semed ter stegen lament entant busquets surez saem tim titul nad,0
diss q gord pod amostr barriguinh kk tcoefjv58lbqx,0
t to estress put q par,0
fri caralh irmo,1
acho ridcul dre ta junt mark tir fotinh pra post pau cu,1
jam acab pas,0
caralh to mt gat,1
velh to surtandowbhajsjsk utt bias caralh paras vc assim quer,0
empat tud nao recproc acho dev respeit sentiment outr nao trat tal lix send lix apen sincer ta tim nao deix pesso cheg pont,1
fic pau pau 2018,0
agost consig ir pra ridcul,0
ltim sei nom pqp mulh perfeit porr,1
d chanc mam rol gostos s vim hahah tcocy2bm47ohf,1
sim trist pens niss,0
